Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-07-20,6049.53,inf,3500.0,0.0,122,inf,1,inf
2009-07-21,0.0,-1.0,4100.0,0.17142857142857149,0,-1.0,0,-1.0
2009-07-22,0.0,,3000.0,-0.2682926829268293,0,,0,
2009-07-23,0.0,,3800.0,0.2666666666666666,0,,0,
2009-07-24,0.0,,3650.0,-0.03947368421052633,0,,0,
2009-07-25,0.0,,1600.0,-0.5616438356164384,0,,0,
2009-07-26,0.0,,1050.0,-0.34375,0,,0,
2009-07-27,0.0,,3700.0,2.5238095238095237,0,,0,
2009-07-28,0.0,,2050.0,-0.44594594594594594,0,,0,
2009-07-29,100.0,inf,950.0,-0.5365853658536586,3,inf,1,inf
2009-07-30,50.0,-0.5,750.0,-0.21052631578947367,2,-0.33333333333333337,1,0.0
2009-07-31,0.0,-1.0,850.0,0.1333333333333333,0,-1.0,0,-1.0
2009-08-01,0.0,,1400.0,0.6470588235294117,0,,0,
2009-08-02,0.0,,1150.0,-0.1785714285714286,0,,0,
2009-08-03,0.0,,600.0,-0.4782608695652174,0,,0,
2009-08-04,0.0,,4050.0,5.75,0,,0,
2009-08-05,0.0,,4350.0,0.07407407407407418,0,,0,
2009-08-06,0.0,,4500.0,0.034482758620689724,0,,0,
2009-08-07,5549.4,inf,4000.0,-0.11111111111111116,112,inf,1,inf
2009-08-08,0.0,-1.0,4000.0,0.0,0,-1.0,0,-1.0
2009-08-09,0.0,,5050.0,0.26249999999999996,0,,0,
2009-08-10,0.0,,3750.0,-0.25742574257425743,0,,0,
2009-08-11,0.0,,3500.0,-0.06666666666666665,0,,0,
2009-08-12,0.0,,3150.0,-0.09999999999999998,0,,0,
2009-08-13,0.0,,4250.0,0.3492063492063493,0,,0,
2009-08-14,0.0,,3150.0,-0.2588235294117647,0,,0,
2009-08-15,0.0,,1300.0,-0.5873015873015873,0,,0,
2009-08-16,0.0,,950.0,-0.2692307692307693,0,,0,
2009-08-17,0.0,,850.0,-0.10526315789473684,0,,0,
2009-08-18,0.0,,500.0,-0.4117647058823529,0,,0,
2009-08-19,0.0,,900.0,0.8,0,,0,
2009-08-20,0.0,,1100.0,0.22222222222222232,0,,0,
2009-08-21,0.0,,700.0,-0.36363636363636365,0,,0,
2009-08-22,0.0,,350.0,-0.5,0,,0,
2009-08-23,0.0,,750.0,1.1428571428571428,0,,0,
2009-08-24,0.0,,750.0,0.0,0,,0,
2009-08-25,0.0,,2500.0,2.3333333333333335,0,,0,
2009-08-26,2348.06,inf,2400.0,-0.040000000000000036,48,inf,3,inf
2009-08-27,0.0,-1.0,1450.0,-0.39583333333333337,0,-1.0,0,-1.0
2009-08-28,0.0,,3750.0,1.5862068965517242,0,,0,
2009-08-29,0.0,,3900.0,0.040000000000000036,0,,0,
2009-08-30,50.0,inf,4850.0,0.2435897435897436,2,inf,1,inf
2009-08-31,300.0,5.0,4300.0,-0.11340206185567014,7,2.5,1,0.0
2009-09-01,0.0,-1.0,3900.0,-0.09302325581395354,0,-1.0,0,-1.0
2009-09-02,0.0,,3300.0,-0.15384615384615385,0,,0,
2009-09-03,700.0,inf,3050.0,-0.0757575757575758,15,inf,1,inf
2009-09-04,0.0,-1.0,3200.0,0.049180327868852514,0,-1.0,0,-1.0
2009-09-05,0.0,,3800.0,0.1875,0,,0,
2009-09-06,0.0,,3400.0,-0.10526315789473684,0,,0,
2009-09-07,650.0,inf,3900.0,0.1470588235294117,14,inf,1,inf
2009-09-08,0.0,-1.0,3450.0,-0.11538461538461542,0,-1.0,0,-1.0
2009-09-09,0.0,,2700.0,-0.21739130434782605,0,,0,
2009-09-10,0.0,,3350.0,0.2407407407407407,0,,0,
2009-09-11,0.0,,3350.0,0.0,0,,0,
2009-09-12,0.0,,3450.0,0.029850746268656803,0,,0,
2009-09-13,0.0,,3700.0,0.07246376811594213,0,,0,
2009-09-14,0.0,,3750.0,0.013513513513513598,0,,0,
2009-09-15,0.0,,2200.0,-0.41333333333333333,0,,0,
2009-09-16,1.0,inf,3600.0,0.6363636363636365,2,inf,1,inf
2009-09-17,5049.88,5048.88,4200.0,0.16666666666666674,102,50.0,1,0.0
2009-09-18,0.0,-1.0,3900.0,-0.0714285714285714,0,-1.0,0,-1.0
2009-09-19,0.0,,3700.0,-0.05128205128205132,0,,0,
2009-09-20,0.0,,3900.0,0.054054054054053946,0,,0,
2009-09-21,400.0,inf,3450.0,-0.11538461538461542,9,inf,1,inf
2009-09-22,2000.0,4.0,1250.0,-0.6376811594202898,41,3.5555555555555554,1,0.0
2009-09-23,0.0,-1.0,1800.0,0.43999999999999995,0,-1.0,0,-1.0
2009-09-24,0.0,,4850.0,1.6944444444444446,0,,0,
2009-09-25,1300.0,inf,4550.0,-0.061855670103092786,28,inf,2,inf
2009-09-26,0.0,-1.0,5000.0,0.098901098901099,0,-1.0,0,-1.0
2009-09-27,800.0,inf,4350.0,-0.13,17,inf,1,inf
2009-09-28,0.0,-1.0,4250.0,-0.02298850574712641,0,-1.0,0,-1.0
2009-09-29,2150.0,inf,4400.0,0.03529411764705892,45,inf,2,inf
2009-09-30,0.0,-1.0,4250.0,-0.03409090909090906,0,-1.0,0,-1.0
2009-10-01,0.0,,4100.0,-0.03529411764705881,0,,0,
2009-10-02,500.0,inf,3600.0,-0.12195121951219512,11,inf,1,inf
2009-10-03,0.0,-1.0,2900.0,-0.19444444444444442,0,-1.0,0,-1.0
2009-10-04,0.0,,2650.0,-0.08620689655172409,0,,0,
2009-10-05,0.0,,2750.0,0.037735849056603765,0,,0,
2009-10-06,900.0,inf,2150.0,-0.21818181818181814,15,inf,2,inf
2009-10-07,0.0,-1.0,3000.0,0.39534883720930236,0,-1.0,0,-1.0
2009-10-08,0.0,,3500.0,0.16666666666666674,0,,0,
2009-10-09,0.0,,4000.0,0.1428571428571428,0,,0,
2009-10-10,0.0,,3800.0,-0.050000000000000044,0,,0,
2009-10-11,0.0,,3700.0,-0.02631578947368418,0,,0,
2009-10-12,5050.0,inf,2900.0,-0.21621621621621623,74,inf,1,inf
2009-10-13,0.0,-1.0,2850.0,-0.017241379310344862,0,-1.0,0,-1.0
2009-10-14,0.0,,3450.0,0.21052631578947367,0,,0,
2009-10-15,0.0,,3550.0,0.02898550724637672,0,,0,
2009-10-16,9700.0,inf,3000.0,-0.15492957746478875,81,inf,1,inf
2009-10-17,0.0,-1.0,2850.0,-0.050000000000000044,0,-1.0,0,-1.0
2009-10-18,350.0,inf,3700.0,0.29824561403508776,8,inf,1,inf
2009-10-19,0.0,-1.0,5600.0,0.5135135135135136,0,-1.0,0,-1.0
2009-10-20,5049.76,inf,4750.0,-0.1517857142857143,102,inf,1,inf
2009-10-21,899.76,-0.8218212350685974,4000.0,-0.1578947368421053,19,-0.8137254901960784,1,0.0
2009-10-22,11950.0,12.281319462967902,4500.0,0.125,40,1.1052631578947367,1,0.0
2009-10-23,0.0,-1.0,4450.0,-0.011111111111111072,0,-1.0,0,-1.0
2009-10-24,12250.0,inf,3100.0,-0.3033707865168539,8,inf,1,inf
2009-10-25,0.0,-1.0,3800.0,0.22580645161290325,0,-1.0,0,-1.0
2009-10-26,0.0,,3550.0,-0.06578947368421051,0,,0,
2009-10-27,13000.0,inf,3200.0,-0.09859154929577463,17,inf,1,inf
2009-10-28,0.0,-1.0,3300.0,0.03125,0,-1.0,0,-1.0
2009-10-29,2050.0,inf,2300.0,-0.303030303030303,43,inf,2,inf
2009-10-30,0.0,-1.0,3000.0,0.30434782608695654,0,-1.0,0,-1.0
2009-10-31,0.0,,2300.0,-0.23333333333333328,0,,0,
2009-11-01,0.0,,1250.0,-0.4565217391304348,0,,0,
2009-11-02,0.0,,1650.0,0.32000000000000006,0,,0,
2009-11-03,0.0,,3100.0,0.8787878787878789,0,,0,
